"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: size"
"kotlin_benchmarks.array.copy.Identity32int.ref_arraycopy","avgt",1,15,9.503013,0.101812,"ns/op",100
"kotlin_benchmarks.array.copy.Identity32int.ref_arraycopy","avgt",1,15,75935.711605,2828.834707,"ns/op",1000000
"kotlin_benchmarks.array.copy.Identity32int.ref_copy","avgt",1,15,76.377792,2.393063,"ns/op",100
"kotlin_benchmarks.array.copy.Identity32int.ref_copy","avgt",1,15,39222433.039542,11875068.776673,"ns/op",1000000
"kotlin_benchmarks.array.copy.Inline128int.Ref_to_Val_arraycopy","avgt",1,15,9.498100,0.131004,"ns/op",100
"kotlin_benchmarks.array.copy.Inline128int.Ref_to_Val_arraycopy","avgt",1,15,72904.250853,1612.786780,"ns/op",1000000
"kotlin_benchmarks.array.copy.Inline128int.Ref_to_Val_copy","avgt",1,15,173.083743,0.857272,"ns/op",100
"kotlin_benchmarks.array.copy.Inline128int.Ref_to_Val_copy","avgt",1,15,40415357.530449,9078575.540632,"ns/op",1000000
"kotlin_benchmarks.array.copy.Inline128int.Val_to_Ref_arraycopy","avgt",1,15,9.407102,0.041122,"ns/op",100
"kotlin_benchmarks.array.copy.Inline128int.Val_to_Ref_arraycopy","avgt",1,15,72006.475273,1307.687902,"ns/op",1000000
"kotlin_benchmarks.array.copy.Inline128int.Val_to_Ref_copy","avgt",1,15,173.167029,0.627701,"ns/op",100
"kotlin_benchmarks.array.copy.Inline128int.Val_to_Ref_copy","avgt",1,15,40885643.779551,9742212.449224,"ns/op",1000000
"kotlin_benchmarks.array.copy.Inline128int.Val_to_Val_arraycopy","avgt",1,15,9.417657,0.100872,"ns/op",100
"kotlin_benchmarks.array.copy.Inline128int.Val_to_Val_arraycopy","avgt",1,15,73227.635963,3401.118848,"ns/op",1000000
"kotlin_benchmarks.array.copy.Inline128int.Val_to_Val_copy","avgt",1,15,176.291446,5.670705,"ns/op",100
"kotlin_benchmarks.array.copy.Inline128int.Val_to_Val_copy","avgt",1,15,32703808.562702,12755154.838568,"ns/op",1000000
"kotlin_benchmarks.array.copy.Inline32int.Ref_to_Val_arraycopy","avgt",1,15,9.914441,0.159334,"ns/op",100
"kotlin_benchmarks.array.copy.Inline32int.Ref_to_Val_arraycopy","avgt",1,15,68865.198935,1262.593625,"ns/op",1000000
"kotlin_benchmarks.array.copy.Inline32int.Ref_to_Val_copy","avgt",1,15,76.250594,0.999015,"ns/op",100
"kotlin_benchmarks.array.copy.Inline32int.Ref_to_Val_copy","avgt",1,15,46728684.784020,8316565.697338,"ns/op",1000000
"kotlin_benchmarks.array.copy.Inline32int.Val_to_Ref_arraycopy","avgt",1,15,16.608328,5.495994,"ns/op",100
"kotlin_benchmarks.array.copy.Inline32int.Val_to_Ref_arraycopy","avgt",1,15,71136.189243,2656.599421,"ns/op",1000000
"kotlin_benchmarks.array.copy.Inline32int.Val_to_Ref_copy","avgt",1,15,75.556248,0.690238,"ns/op",100
"kotlin_benchmarks.array.copy.Inline32int.Val_to_Ref_copy","avgt",1,15,40793266.709405,17240957.374826,"ns/op",1000000
